oznitelik,c1,c4,c6,ort_mutlak,ayni_yon,git_hash
vib_z_order_2,-0.055,0.077,0.446,0.192,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_y_order_6_ratio,0.281,-0.004,-0.292,0.192,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_y_order_total,-0.046,-0.098,0.42,0.188,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_x_order_1,0.191,0.082,0.282,0.185,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_x_order_5,-0.185,-0.345,0.026,0.185,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_y_kurtosis,-0.335,-0.014,-0.198,0.182,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_z_order_8_ratio,-0.109,-0.387,0.046,0.18,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_z_order_3_ratio,0.007,-0.087,-0.442,0.179,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_z_order_7,-0.305,-0.147,-0.08,0.177,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
ae_rms_order_4,-0.182,0.221,0.118,0.174,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_z_order_6,0.004,-0.099,0.412,0.171,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_x_order_5_ratio,-0.271,-0.182,-0.055,0.169,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_y_order_8,-0.16,-0.317,-0.027,0.168,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_z_order_2_ratio,-0.144,0.039,0.319,0.167,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_x_skew,0.142,0.144,-0.216,0.167,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_x_order_4_ratio,-0.156,-0.114,0.228,0.166,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
ae_rms_order_3,0.148,0.223,-0.123,0.165,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
ae_rms_order_6,-0.089,0.183,-0.218,0.163,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_x_kurtosis,-0.271,-0.016,0.194,0.16,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_z_order_7_ratio,-0.254,-0.187,0.031,0.157,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_z_order_1,0.019,0.149,0.302,0.156,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_y_kurtosis,-0.108,0.087,0.274,0.156,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_y_order_7,-0.074,-0.255,0.134,0.155,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_z_order_6_ratio,-0.023,-0.018,0.41,0.151,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_z_order_4,-0.332,-0.06,-0.049,0.147,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
ae_rms_order_7,-0.011,0.28,0.151,0.147,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_x_order_4,-0.092,-0.17,0.176,0.146,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_x_order_2,0.04,0.011,0.379,0.143,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
ae_rms_order_1_ratio,-0.066,-0.08,0.277,0.141,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_y_order_5,0.096,-0.249,0.077,0.141,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_x_order_8,-0.238,-0.167,-0.018,0.141,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_z_order_8,0.007,-0.085,0.331,0.141,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_z_order_1,-0.202,-0.137,-0.086,0.141,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_z_skew,-0.107,0.289,-0.027,0.141,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_y_order_6,0.347,-0.017,-0.053,0.139,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
ae_rms_order_5,-0.111,-0.291,-0.015,0.139,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_x_order_6,0.332,-0.055,-0.025,0.138,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_x_order_2_ratio,-0.165,0.079,0.166,0.137,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_y_order_7_ratio,-0.104,-0.088,0.215,0.136,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_x_order_7,-0.13,-0.227,0.044,0.134,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_x_order_2,-0.218,-0.164,0.01,0.131,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_x_order_2_ratio,-0.123,0.018,0.238,0.126,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_x_skew,-0.022,0.126,0.222,0.123,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_y_order_2_ratio,-0.121,0.019,0.228,0.123,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_z_order_8_ratio,-0.013,0.064,0.279,0.119,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
ae_rms_rms,0.293,-0.021,-0.04,0.118,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_y_order_2,0.02,0.014,0.319,0.118,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_y_order_4_ratio,-0.136,0.018,0.197,0.117,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
ae_rms_abs_mean,0.288,-0.017,-0.041,0.115,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_y_order_2_ratio,0.02,0.003,0.32,0.114,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_y_skew,-0.312,0.001,0.027,0.113,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_y_order_2,0.056,0.063,0.218,0.112,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
ae_rms_order_2,-0.091,-0.221,0.019,0.111,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_x_order_8_ratio,-0.094,-0.155,0.082,0.11,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_x_order_3_ratio,0.064,0.071,-0.19,0.108,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_y_order_3_ratio,0.006,0.222,-0.085,0.104,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_x_order_3,0.191,-0.013,0.108,0.104,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_x_order_7,-0.03,-0.227,-0.052,0.103,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_z_order_2,-0.181,0.023,0.096,0.1,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_z_order_4,-0.21,0.054,-0.035,0.1,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_y_order_4_ratio,0.066,0.003,0.228,0.099,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_x_order_8_ratio,0.024,0.064,0.206,0.098,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
ae_rms_kurtosis,0.096,0.167,0.029,0.097,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_x_order_8,-0.035,-0.25,-0.006,0.097,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_z_order_7,-0.006,0.106,0.177,0.096,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
ae_rms_peak,0.241,0.019,0.02,0.094,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_y_order_1,0.159,0.046,0.068,0.091,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
ae_rms_order_8,0.01,-0.163,0.101,0.091,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_z_order_5,-0.154,-0.088,-0.03,0.091,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_y_order_4,-0.006,-0.05,0.216,0.09,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_x_order_7_ratio,-0.106,-0.108,0.055,0.09,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
ae_rms_order_1,-0.174,-0.07,0.025,0.089,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
ae_rms_order_8_ratio,0.184,-0.025,0.057,0.089,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_y_peak,-0.058,-0.157,-0.048,0.088,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_y_order_6_ratio,0.08,-0.107,-0.076,0.087,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
ae_rms_order_5_ratio,0.084,-0.096,-0.076,0.085,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_z_order_1_ratio,-0.078,0.133,-0.039,0.083,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_z_order_2_ratio,-0.075,0.026,0.145,0.082,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_z_order_5_ratio,0.001,0.09,0.153,0.081,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_y_order_5,-0.13,-0.057,-0.052,0.08,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_y_order_1,0.065,-0.005,0.17,0.08,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_y_order_8_ratio,-0.065,-0.139,0.036,0.08,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_z_order_4_ratio,0.081,0.053,-0.097,0.077,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_x_order_6,0.179,-0.026,-0.019,0.075,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_y_abs_mean,0.054,-0.097,-0.069,0.073,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_y_order_8_ratio,-0.042,0.038,0.127,0.069,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_x_order_1_ratio,-0.08,0.026,0.099,0.068,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_y_order_7,-0.125,0.053,0.026,0.068,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_x_order_3,0.056,-0.072,-0.076,0.068,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_y_abs_mean,0.143,-0.027,-0.03,0.067,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_y_order_5_ratio,-0.088,0.015,0.097,0.067,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_z_abs_mean,-0.085,-0.071,0.041,0.066,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_z_peak,0.074,0.018,-0.101,0.065,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_z_p2p,0.07,0.003,-0.123,0.065,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_z_order_7_ratio,0.034,0.111,-0.048,0.064,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_z_order_6_ratio,0.025,0.103,-0.064,0.064,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_y_p2p,-0.107,-0.071,0.015,0.064,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
ae_rms_std,0.056,-0.093,-0.039,0.063,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_x_order_4_ratio,0.015,0.108,0.065,0.063,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_y_order_7_ratio,0.004,0.069,0.117,0.063,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_y_rms,0.044,-0.101,-0.041,0.062,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_x_peak,0.015,0.025,-0.146,0.062,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_x_order_6_ratio,0.179,0.0,0.006,0.061,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_z_std,0.086,-0.067,-0.023,0.059,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_z_order_total,-0.087,-0.048,0.043,0.059,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_z_kurtosis,-0.049,0.038,-0.091,0.059,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_x_p2p,0.02,0.016,-0.137,0.058,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_z_rms,0.084,-0.041,-0.048,0.058,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_z_order_4_ratio,-0.113,-0.03,0.032,0.058,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_z_abs_mean,0.059,-0.067,-0.045,0.057,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_y_order_8,-0.042,0.041,0.089,0.057,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_y_rms,0.116,-0.026,-0.03,0.057,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
ae_rms_order_2_ratio,-0.029,-0.111,0.026,0.056,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_z_std,-0.084,-0.048,0.032,0.055,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_y_std,0.1,-0.026,-0.038,0.054,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_z_rms,-0.068,-0.059,0.035,0.054,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_y_order_1_ratio,-0.038,0.027,0.097,0.054,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_y_order_3,0.079,-0.032,-0.051,0.054,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_z_order_1_ratio,-0.123,0.036,0.003,0.054,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_z_order_total,0.076,-0.061,-0.02,0.053,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_x_order_5_ratio,-0.008,0.085,0.062,0.052,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_y_order_total,0.098,-0.023,-0.036,0.052,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
ae_rms_order_6_ratio,0.015,0.078,-0.062,0.051,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_y_order_1_ratio,-0.115,0.033,0.006,0.051,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_z_order_6,0.094,-0.026,-0.032,0.051,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_z_order_3,0.074,-0.059,-0.017,0.05,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_y_order_3,0.075,-0.041,-0.025,0.047,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_x_order_7_ratio,-0.116,0.006,0.02,0.047,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_x_abs_mean,0.111,-0.011,0.018,0.047,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_z_order_3,-0.025,-0.072,-0.039,0.045,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_x_rms,-0.023,-0.08,-0.021,0.042,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_y_order_4,-0.055,-0.05,0.022,0.042,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_x_order_total,0.104,-0.008,-0.012,0.041,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
ae_rms_order_3_ratio,-0.0,0.093,0.027,0.04,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_x_abs_mean,-0.03,-0.081,-0.007,0.039,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_x_std,0.087,-0.005,-0.024,0.038,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_y_order_3_ratio,-0.028,0.001,0.085,0.038,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_x_rms,0.086,-0.011,0.009,0.035,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_x_p2p,-0.032,-0.046,-0.024,0.034,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_y_order_5_ratio,-0.019,0.066,0.017,0.034,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_x_order_total,0.073,-0.011,0.015,0.033,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_x_peak,-0.03,-0.04,-0.029,0.033,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_x_order_1_ratio,0.072,0.027,0.002,0.033,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_x_std,0.083,-0.009,-0.001,0.031,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_y_p2p,0.067,0.019,0.001,0.029,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_z_p2p,0.02,-0.047,-0.016,0.028,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_y_peak,0.056,-0.006,-0.019,0.027,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_z_peak,-0.002,-0.045,-0.033,0.027,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
ae_rms_order_total,0.009,-0.01,-0.062,0.027,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
ae_rms_p2p,0.066,-0.001,0.005,0.024,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
