oznitelik,c1,c4,c6,ort_mutlak,ayni_yon,git_hash
force_x_order_1_ratio,-0.92,-0.919,-0.982,0.941,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_x_order_8_ratio,-0.954,-0.894,-0.963,0.937,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_z_peak,0.924,0.921,0.956,0.934,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_y_std,0.931,0.869,0.988,0.929,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_y_abs_mean,0.929,0.866,0.988,0.928,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_y_order_total,0.926,0.867,0.988,0.927,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_y_rms,0.926,0.864,0.988,0.926,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_x_order_6_ratio,0.835,0.944,0.986,0.922,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_x_abs_mean,0.909,0.868,0.99,0.922,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_x_std,0.906,0.867,0.992,0.921,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_x_order_6,0.852,0.911,0.997,0.92,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_x_order_3,0.924,0.924,0.912,0.92,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_x_rms,0.903,0.866,0.991,0.92,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_z_order_6,0.994,0.988,0.778,0.92,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_x_order_total,0.899,0.865,0.991,0.918,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_y_order_8_ratio,-0.944,-0.875,-0.932,0.917,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_y_order_3_ratio,0.912,0.908,-0.919,0.913,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_z_order_8_ratio,-0.936,-0.849,-0.951,0.912,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_y_p2p,0.917,0.845,0.969,0.91,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_y_order_8_ratio,-0.91,-0.897,-0.917,0.908,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_y_order_7_ratio,-0.902,-0.881,-0.934,0.905,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_y_peak,0.907,0.839,0.962,0.903,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_x_p2p,0.882,0.852,0.973,0.902,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_y_order_6,0.841,0.87,0.988,0.9,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_x_order_7_ratio,-0.928,-0.86,-0.908,0.899,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_x_kurtosis,-0.846,-0.904,-0.943,0.898,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_y_order_2_ratio,-0.925,-0.834,-0.934,0.898,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_y_std,0.887,0.947,0.861,0.898,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_y_order_total,0.88,0.945,0.849,0.891,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_x_peak,0.873,0.83,0.967,0.89,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_x_order_4_ratio,-0.929,-0.858,-0.882,0.89,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_x_order_2_ratio,-0.877,-0.855,-0.907,0.88,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_x_order_5_ratio,-0.861,-0.828,-0.948,0.879,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_z_order_5_ratio,-0.92,-0.846,-0.867,0.878,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_z_order_3,0.853,0.78,0.994,0.876,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_y_order_4_ratio,-0.898,-0.8,-0.917,0.872,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_y_order_5_ratio,-0.842,-0.861,-0.911,0.871,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_y_order_7_ratio,-0.882,-0.809,-0.919,0.87,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_z_order_7_ratio,-0.915,-0.777,-0.912,0.868,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_y_order_1_ratio,-0.697,-0.909,-0.989,0.865,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_z_order_2_ratio,-0.851,-0.807,-0.937,0.865,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_z_kurtosis,-0.99,-0.777,0.821,0.862,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_x_order_4_ratio,-0.878,-0.781,-0.92,0.859,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_x_order_2_ratio,-0.875,-0.729,-0.962,0.855,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_y_order_2_ratio,-0.879,-0.714,-0.96,0.851,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_x_order_7,0.921,0.669,0.959,0.85,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_z_order_1_ratio,-0.817,-0.803,-0.926,0.849,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_y_order_1_ratio,-0.813,-0.797,-0.934,0.848,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_x_order_8,-0.853,-0.828,-0.85,0.844,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_x_order_7_ratio,-0.862,-0.748,-0.909,0.84,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_z_order_6_ratio,0.947,0.94,0.63,0.839,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_x_order_5,0.829,0.778,0.91,0.839,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_y_skew,-0.891,-0.89,0.704,0.829,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_y_order_8,-0.843,-0.778,-0.838,0.82,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_y_kurtosis,-0.789,-0.804,-0.861,0.818,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_y_skew,-0.822,-0.892,-0.721,0.812,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_y_order_3_ratio,0.815,0.797,0.803,0.805,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_z_order_8_ratio,-0.735,-0.722,-0.959,0.805,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_y_order_6,0.895,0.864,0.651,0.804,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_y_order_4_ratio,-0.872,-0.688,-0.84,0.8,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_z_order_7_ratio,-0.794,-0.653,-0.95,0.799,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_y_order_3,0.996,0.989,0.41,0.798,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_z_order_2_ratio,-0.892,-0.554,-0.941,0.796,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_x_order_5_ratio,-0.609,-0.854,-0.877,0.78,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_z_order_4_ratio,-0.73,-0.742,-0.868,0.78,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_z_order_1_ratio,-0.822,-0.666,-0.849,0.779,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_z_order_6_ratio,-0.978,-0.335,0.996,0.769,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_z_order_3_ratio,0.993,0.804,-0.498,0.765,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_x_order_1_ratio,-0.416,-0.939,-0.932,0.762,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_y_order_7,-0.702,-0.71,-0.812,0.741,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_y_order_5_ratio,-0.528,-0.778,-0.889,0.732,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_x_order_7,-0.829,-0.735,-0.629,0.731,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_z_skew,-0.964,-0.337,0.874,0.725,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_z_order_5_ratio,-0.561,-0.794,-0.79,0.715,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_y_order_2,-0.718,-0.678,-0.72,0.705,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_z_order_4_ratio,-0.626,-0.566,-0.904,0.698,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
ae_rms_order_2_ratio,-0.681,-0.679,-0.678,0.679,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_y_order_4,-0.663,-0.613,-0.751,0.676,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_y_order_8,-0.658,-0.696,-0.667,0.674,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_x_order_3_ratio,0.864,0.649,0.51,0.674,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_y_order_7,-0.61,-0.678,-0.722,0.67,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_y_order_5,-0.614,-0.665,-0.701,0.66,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
ae_rms_order_1_ratio,-0.535,-0.594,-0.741,0.624,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_x_order_4,-0.71,-0.595,-0.559,0.621,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_z_order_1,0.592,0.506,0.727,0.608,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
ae_rms_order_5_ratio,-0.761,-0.583,-0.463,0.602,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_y_order_6_ratio,0.824,0.871,0.091,0.595,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_y_kurtosis,-0.491,-0.7,0.557,0.583,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_x_skew,0.883,0.456,0.344,0.561,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_x_order_6_ratio,0.578,0.689,0.403,0.557,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
ae_rms_order_6_ratio,-0.463,-0.379,-0.782,0.541,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_z_order_8,-0.799,-0.187,-0.616,0.534,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
ae_rms_order_8_ratio,-0.522,-0.574,-0.502,0.533,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_x_order_2,-0.596,-0.353,-0.642,0.53,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_y_order_6_ratio,0.754,0.493,0.323,0.523,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_x_kurtosis,-0.569,-0.138,0.793,0.5,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_y_order_1,0.298,-0.653,-0.377,0.443,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_x_order_2,-0.376,-0.306,-0.618,0.433,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_z_order_8,0.389,0.141,-0.764,0.431,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_x_order_8,0.247,0.602,0.443,0.43,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_z_order_7,-0.531,-0.104,-0.593,0.409,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_y_order_1,-0.028,-0.498,-0.703,0.409,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_z_kurtosis,0.455,0.17,-0.584,0.403,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_z_order_4,0.738,-0.02,0.452,0.403,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
ae_rms_order_4_ratio,-0.471,-0.222,-0.475,0.389,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_x_order_3_ratio,0.281,0.071,-0.779,0.377,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_z_order_2,-0.514,0.11,-0.497,0.374,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_x_skew,-0.28,-0.393,-0.439,0.371,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
ae_rms_order_2,-0.351,-0.384,-0.329,0.355,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
ae_rms_order_6,-0.369,-0.319,-0.343,0.344,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_x_order_5,-0.269,-0.293,-0.471,0.344,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_y_order_2,-0.347,-0.482,0.075,0.301,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_x_order_1,0.276,-0.591,-0.022,0.296,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_y_order_4,-0.718,-0.043,-0.127,0.296,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
ae_rms_order_5,-0.377,-0.357,-0.149,0.294,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
ae_rms_order_1,-0.279,-0.275,-0.289,0.281,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_z_order_4,0.112,-0.063,-0.662,0.279,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_z_order_1,-0.25,-0.467,-0.103,0.273,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
ae_rms_kurtosis,0.107,0.31,0.392,0.27,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_z_skew,-0.01,0.102,-0.692,0.268,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_z_order_5,0.062,0.31,0.409,0.26,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
ae_rms_order_3_ratio,0.009,-0.119,-0.562,0.23,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_z_order_2,0.411,0.004,-0.222,0.212,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
ae_rms_order_3,-0.204,-0.254,-0.166,0.208,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
ae_rms_peak,0.085,0.129,0.386,0.2,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_y_order_5,-0.111,-0.029,-0.435,0.192,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_x_order_4,-0.111,0.148,0.319,0.192,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
ae_rms_abs_mean,0.218,-0.019,0.322,0.187,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
ae_rms_order_8,-0.282,-0.262,-0.001,0.182,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
ae_rms_rms,0.212,-0.014,0.321,0.182,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_z_order_5,-0.11,-0.149,-0.283,0.181,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
ae_rms_skew,0.003,0.164,0.361,0.176,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_z_order_7,-0.218,-0.18,-0.129,0.176,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
ae_rms_order_total,-0.171,0.064,0.287,0.174,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
ae_rms_order_7,-0.17,0.108,0.193,0.157,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
ae_rms_p2p,-0.055,0.121,0.29,0.155,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_x_order_1,0.079,-0.12,0.241,0.147,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_z_order_3_ratio,0.245,0.093,0.103,0.147,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
ae_rms_order_7_ratio,-0.169,-0.015,-0.146,0.11,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
ae_rms_std,-0.096,0.012,0.193,0.1,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
ae_rms_order_4,-0.25,-0.021,-0.014,0.095,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
